Designator,Mid X,Mid Y,Layer,Rotation
C0,7,81,Top,180
C0,41,13,Top,180
C0,7,13,Top,180
C0,75,47,Top,180
C0,41,47,Top,180
C0,7,47,Top,180
C0,75,81,Top,180
C0,41,81,Top,180
C1,7,87,Top,180
C1,41,87,Top,180
C1,41,19,Top,180
C1,7,19,Top,180
C1,75,53,Top,180
C1,41,53,Top,180
C1,7,53,Top,180
C1,75,87,Top,180
C2,26,7,Top,270
C2,60,7,Top,270
C2,94,41,Top,270
C2,60,41,Top,270
C2,26,41,Top,270
C2,94,75,Top,270
C2,60,75,Top,270
C2,26,75,Top,270
C3,26,71,Top,270
C3,60,3,Top,270
C3,26,3,Top,270
C3,94,37,Top,270
C3,60,37,Top,270
C3,60,71,Top,270
C3,94,71,Top,270
C3,26,37,Top,270
R0,11,16,Top,90
R0,45,84,Top,90
R0,79,84,Top,90
R0,11,50,Top,90
R0,45,50,Top,90
R0,79,50,Top,90
R0,45,16,Top,90
R0,11,84,Top,90
R1,7,57,Top,0
R1,75,91,Top,0
R1,41,91,Top,0
R1,7,91,Top,0
R1,41,23,Top,0
R1,7,23,Top,0
R1,75,57,Top,0
R1,41,57,Top,0
U0,54,85,Top,270
U0,20,85,Top,270
U0,88,85,Top,270
U0,20,51,Top,270
U0,54,51,Top,270
U0,88,51,Top,270
U0,20,17,Top,270
U0,54,17,Top,270
U1,54,39,Top,0
U1,20,73,Top,0
U1,54,73,Top,0
U1,88,73,Top,0
U1,20,39,Top,0
U1,88,39,Top,0
U1,20,5,Top,0
U1,54,5,Top,0
Y0,7,50,Top,0
Y0,7,84,Top,0
Y0,41,16,Top,0
Y0,7,16,Top,0
Y0,75,50,Top,0
Y0,41,50,Top,0
Y0,41,84,Top,0
Y0,75,84,Top,0
